object_id	name	schema_id	type	type_desc	create_date	modify_date
57	syswebmethods	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.900	2013-06-10 22:03:15.907
58	sysbinobjs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.467	2009-04-13 12:59:12.493
59	sysaudacts	4	S 	SYSTEM_TABLE	2013-06-10 22:03:14.613	2013-06-10 22:03:14.623
60	sysobjvalues	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.170	2009-04-13 12:59:11.170
62	syscscolsegments	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.763	2013-06-10 22:03:16.653
63	syscsdictionaries	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.770	2013-06-10 22:03:16.657
64	sysclsobjs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.200	2009-04-13 12:59:11.200
65	sysrowsetrefs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.373	2013-06-10 22:03:13.500
67	sysremsvcbinds	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.860	2009-04-13 12:59:12.883
68	sysxmitqueue	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.890	2013-06-10 22:03:15.210
69	sysrts	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.873	2009-04-13 12:59:12.900
71	sysconvgroup	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.873	2009-04-13 12:59:12.883
72	sysdesend	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.903	2009-04-13 12:59:13.003
73	sysdercv	4	S 	SYSTEM_TABLE	2009-04-13 12:59:13.000	2013-06-10 22:03:15.720
74	syssingleobjrefs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:10.967	2009-04-13 12:59:10.967
75	sysmultiobjrefs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:10.983	2009-04-13 12:59:10.983
78	sysguidrefs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.577	2009-04-13 12:59:12.600
79	sysfoqueues	4	S 	SYSTEM_TABLE	2013-06-10 22:03:16.027	2013-06-10 22:03:16.033
80	syschildinsts	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.797	2013-06-10 22:03:15.803
82	syscompfragments	4	S 	SYSTEM_TABLE	2013-06-10 22:03:14.650	2013-06-10 22:03:14.657
84	sysftsemanticsdb	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.923	2013-06-10 22:03:15.930
85	sysftstops	4	S 	SYSTEM_TABLE	2013-06-10 22:03:14.653	2013-06-10 22:03:14.660
86	sysftproperties	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.107	2013-06-10 22:03:15.120
87	sysxmitbody	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.210	2013-06-10 22:03:15.217
89	sysfos	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.970	2013-06-10 22:03:16.030
90	sysqnames	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.593	2009-04-13 12:59:12.607
91	sysxmlcomponent	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.593	2009-04-13 12:59:12.617
92	sysxmlfacet	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.610	2009-04-13 12:59:12.620
93	sysxmlplacement	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.610	2009-04-13 12:59:12.870
94	sysobjkeycrypts	4	S 	SYSTEM_TABLE	2009-04-13 12:59:13.013	2009-04-13 12:59:13.023
95	sysasymkeys	4	S 	SYSTEM_TABLE	2009-04-13 12:59:13.030	2009-04-13 12:59:13.057
96	syssqlguides	4	S 	SYSTEM_TABLE	2009-04-13 12:59:13.047	2013-06-10 22:03:14.457
97	sysbinsubobjs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:12.483	2009-04-13 12:59:12.587
98	syssoftobjrefs	4	S 	SYSTEM_TABLE	2013-06-10 22:03:14.230	2013-06-10 22:03:14.240
245575913	Employees	5	U 	USER_TABLE	2014-01-02 09:22:36.583	2014-01-02 09:22:36.667
261575970	PK_Employees	5	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.637	2014-01-02 09:22:36.637
277576027	FK_Employees_Employees	5	F 	FOREIGN_KEY_CONSTRAINT	2014-01-02 09:22:36.637	2014-01-02 09:22:36.637
293576084	CHK_birthdate	5	C 	CHECK_CONSTRAINT	2014-01-02 09:22:36.637	2014-01-02 09:22:36.637
309576141	Suppliers	6	U 	USER_TABLE	2014-01-02 09:22:36.640	2014-01-02 09:22:36.650
325576198	PK_Suppliers	6	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.640	2014-01-02 09:22:36.640
341576255	Categories	6	U 	USER_TABLE	2014-01-02 09:22:36.643	2014-01-02 09:22:36.650
357576312	PK_Categories	6	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.643	2014-01-02 09:22:36.643
373576369	Products	6	U 	USER_TABLE	2014-01-02 09:22:36.647	2014-01-02 09:22:36.677
389576426	PK_Products	6	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.647	2014-01-02 09:22:36.647
405576483	DFT_Products_unitprice	6	D 	DEFAULT_CONSTRAINT	2014-01-02 09:22:36.647	2014-01-02 09:22:36.647
421576540	DFT_Products_discontinued	6	D 	DEFAULT_CONSTRAINT	2014-01-02 09:22:36.647	2014-01-02 09:22:36.647
437576597	FK_Products_Categories	6	F 	FOREIGN_KEY_CONSTRAINT	2014-01-02 09:22:36.647	2014-01-02 09:22:36.647
453576654	FK_Products_Suppliers	6	F 	FOREIGN_KEY_CONSTRAINT	2014-01-02 09:22:36.647	2014-01-02 09:22:36.647
469576711	CHK_Products_unitprice	6	C 	CHECK_CONSTRAINT	2014-01-02 09:22:36.647	2014-01-02 09:22:36.647
485576768	Customers	7	U 	USER_TABLE	2014-01-02 09:22:36.660	2014-01-02 09:22:36.677
501576825	PK_Customers	7	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.660	2014-01-02 09:22:36.660
517576882	Shippers	7	U 	USER_TABLE	2014-01-02 09:22:36.663	2014-01-02 09:22:36.670
533576939	PK_Shippers	7	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.663	2014-01-02 09:22:36.663
549576996	Orders	7	U 	USER_TABLE	2014-01-02 09:22:36.667	2014-01-02 09:22:36.690
565577053	PK_Orders	7	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.667	2014-01-02 09:22:36.667
581577110	DFT_Orders_freight	7	D 	DEFAULT_CONSTRAINT	2014-01-02 09:22:36.667	2014-01-02 09:22:36.667
597577167	FK_Orders_Customers	7	F 	FOREIGN_KEY_CONSTRAINT	2014-01-02 09:22:36.667	2014-01-02 09:22:36.667
613577224	FK_Orders_Employees	7	F 	FOREIGN_KEY_CONSTRAINT	2014-01-02 09:22:36.667	2014-01-02 09:22:36.667
629577281	FK_Orders_Shippers	7	F 	FOREIGN_KEY_CONSTRAINT	2014-01-02 09:22:36.667	2014-01-02 09:22:36.667
645577338	OrderDetails	7	U 	USER_TABLE	2014-01-02 09:22:36.673	2014-01-02 09:22:36.680
661577395	PK_OrderDetails	7	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.673	2014-01-02 09:22:36.673
677577452	DFT_OrderDetails_unitprice	7	D 	DEFAULT_CONSTRAINT	2014-01-02 09:22:36.673	2014-01-02 09:22:36.673
693577509	DFT_OrderDetails_qty	7	D 	DEFAULT_CONSTRAINT	2014-01-02 09:22:36.673	2014-01-02 09:22:36.673
709577566	DFT_OrderDetails_discount	7	D 	DEFAULT_CONSTRAINT	2014-01-02 09:22:36.673	2014-01-02 09:22:36.673
725577623	FK_OrderDetails_Orders	7	F 	FOREIGN_KEY_CONSTRAINT	2014-01-02 09:22:36.673	2014-01-02 09:22:36.673
741577680	FK_OrderDetails_Products	7	F 	FOREIGN_KEY_CONSTRAINT	2014-01-02 09:22:36.677	2014-01-02 09:22:36.677
757577737	CHK_discount	7	C 	CHECK_CONSTRAINT	2014-01-02 09:22:36.677	2014-01-02 09:22:36.677
773577794	CHK_qty	7	C 	CHECK_CONSTRAINT	2014-01-02 09:22:36.677	2014-01-02 09:22:36.677
789577851	CHK_unitprice	7	C 	CHECK_CONSTRAINT	2014-01-02 09:22:36.677	2014-01-02 09:22:36.677
805577908	Tests	8	U 	USER_TABLE	2014-01-02 09:22:36.680	2014-01-02 09:22:36.683
821577965	PK_Tests	8	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.680	2014-01-02 09:22:36.680
837578022	Scores	8	U 	USER_TABLE	2014-01-02 09:22:36.680	2014-01-02 09:22:36.683
853578079	PK_Scores	8	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:36.680	2014-01-02 09:22:36.680
869578136	CHK_Scores_score	8	C 	CHECK_CONSTRAINT	2014-01-02 09:22:36.680	2014-01-02 09:22:36.680
885578193	FK_Scores_Tests	8	F 	FOREIGN_KEY_CONSTRAINT	2014-01-02 09:22:36.680	2014-01-02 09:22:36.680
901578250	Nums	1	U 	USER_TABLE	2014-01-02 09:22:38.777	2014-01-02 09:22:38.777
917578307	PK_Nums	1	PK	PRIMARY_KEY_CONSTRAINT	2014-01-02 09:22:38.780	2014-01-02 09:22:38.780
933578364	OrderValues	7	V 	VIEW	2014-01-02 09:22:39.923	2014-01-02 09:22:39.923
949578421	OrderTotalsByYear	7	V 	VIEW	2014-01-02 09:22:39.923	2014-01-02 09:22:39.923
965578478	CustOrders	7	V 	VIEW	2014-01-02 09:22:39.927	2014-01-02 09:22:39.927
981578535	EmpOrders	7	V 	VIEW	2014-01-02 09:22:39.927	2014-01-02 09:22:39.927
997578592	GetNums	1	IF	SQL_INLINE_TABLE_VALUED_FUNCTION	2014-01-02 09:22:39.930	2014-01-02 09:22:39.930
1205579333	ProductsStaging	6	U 	USER_TABLE	2014-02-21 06:46:41.510	2014-02-21 06:46:41.510
1557580587	sqlagent_jobs	4	IT	INTERNAL_TABLE	2014-07-03 07:53:59.313	2014-07-03 07:53:59.363
1573580644	sqlagent_jobsteps	4	IT	INTERNAL_TABLE	2014-07-03 07:53:59.360	2014-07-03 07:53:59.373
1589580701	sqlagent_job_history	4	IT	INTERNAL_TABLE	2014-07-03 07:53:59.367	2014-07-03 07:53:59.377
1605580758	sqlagent_jobsteps_logs	4	IT	INTERNAL_TABLE	2014-07-03 07:53:59.370	2014-07-03 07:53:59.373
1621580815	PotentialCustomers	1	U 	USER_TABLE	2014-07-03 07:57:12.390	2014-07-03 07:57:12.390
1845581613	ProductsBeverages	6	V 	VIEW	2014-07-04 03:04:42.630	2014-07-04 03:04:42.630
1861581670	Person	1	SN	SYNONYM	2014-07-04 07:43:46.250	2014-07-04 07:43:46.250
1977058079	QueryNotificationErrorsQueue	1	SQ	SERVICE_QUEUE	2009-04-13 12:59:13.483	2009-04-13 12:59:13.483
1993058136	queue_messages_1977058079	4	IT	INTERNAL_TABLE	2009-04-13 12:59:13.483	2013-06-10 22:03:15.040
2009058193	EventNotificationErrorsQueue	1	SQ	SERVICE_QUEUE	2009-04-13 12:59:13.500	2009-04-13 12:59:13.500
2025058250	queue_messages_2009058193	4	IT	INTERNAL_TABLE	2009-04-13 12:59:13.500	2013-06-10 22:03:15.043
2041058307	ServiceBrokerQueue	1	SQ	SERVICE_QUEUE	2009-04-13 12:59:13.500	2009-04-13 12:59:13.500
2057058364	queue_messages_2041058307	4	IT	INTERNAL_TABLE	2009-04-13 12:59:13.500	2013-06-10 22:03:15.047
2073058421	filestream_tombstone_2073058421	4	IT	INTERNAL_TABLE	2013-06-10 22:03:14.383	2013-06-10 22:03:15.357
2089058478	syscommittab	4	IT	INTERNAL_TABLE	2013-06-10 22:03:14.420	2013-06-10 22:03:14.420
2105058535	filetable_updates_2105058535	4	IT	INTERNAL_TABLE	2013-06-10 22:03:15.623	2013-06-10 22:03:15.623
