name	tablename	schemaname
remsvc	sysremsvcbinds	sys
scid	sysremsvcbinds	sys
status	sysremsvcbinds	sys
dlgerr	sysxmitqueue	sys
dlgid	sysxmitqueue	sys
enqtime	sysxmitqueue	sys
finitiator	sysxmitqueue	sys
frombrkrinst	sysxmitqueue	sys
fromsvc	sysxmitqueue	sys
hdrpartlen	sysxmitqueue	sys
hdrseclen	sysxmitqueue	sys
msgbody	sysxmitqueue	sys
msgbodylen	sysxmitqueue	sys
msgenc	sysxmitqueue	sys
msgid	sysxmitqueue	sys
msgref	sysxmitqueue	sys
msgseqnum	sysxmitqueue	sys
msgtype	sysxmitqueue	sys
rsndtime	sysxmitqueue	sys
status	sysxmitqueue	sys
svccontr	sysxmitqueue	sys
tobrkrinst	sysxmitqueue	sys
tosvc	sysxmitqueue	sys
unackmfn	sysxmitqueue	sys
addr	sysrts	sys
brkrinst	sysrts	sys
id	sysrts	sys
lifetime	sysrts	sys
miraddr	sysrts	sys
name	sysrts	sys
remsvc	sysrts	sys
id	sysconvgroup	sys
refcount	sysconvgroup	sys
service_id	sysconvgroup	sys
status	sysconvgroup	sys
diagid	sysdesend	sys
handle	sysdesend	sys
initiator	sysdesend	sys
sendseq	sysdesend	sys
sendxact	sysdesend	sys
contract	sysdercv	sys
convgroup	sysdercv	sys
diagid	sysdercv	sys
dlgopened	sysdercv	sys
dlgtimer	sysdercv	sys
enddlgseq	sysdercv	sys
farbrkrinst	sysdercv	sys
farprincid	sysdercv	sys
farsvc	sysdercv	sys
firstoorder	sysdercv	sys
handle	sysdercv	sys
initiator	sysdercv	sys
inseskey	sysdercv	sys
inseskeyid	sysdercv	sys
lastoorder	sysdercv	sys
lastoorderfr	sysdercv	sys
lifetime	sysdercv	sys
outseskey	sysdercv	sys
outseskeyid	sysdercv	sys
princid	sysdercv	sys
priority	sysdercv	sys
rcvfrag	sysdercv	sys
rcvseq	sysdercv	sys
state	sysdercv	sys
status	sysdercv	sys
svcid	sysdercv	sys
sysseq	sysdercv	sys
class	syssingleobjrefs	sys
depid	syssingleobjrefs	sys
depsubid	syssingleobjrefs	sys
indepid	syssingleobjrefs	sys
indepsubid	syssingleobjrefs	sys
status	syssingleobjrefs	sys
class	sysmultiobjrefs	sys
depid	sysmultiobjrefs	sys
depsubid	sysmultiobjrefs	sys
indepid	sysmultiobjrefs	sys
indepsubid	sysmultiobjrefs	sys
status	sysmultiobjrefs	sys
class	sysguidrefs	sys
guid	sysguidrefs	sys
id	sysguidrefs	sys
status	sysguidrefs	sys
subid	sysguidrefs	sys
created	sysfoqueues	sys
csn	sysfoqueues	sys
epoch	sysfoqueues	sys
id	sysfoqueues	sys
lsn	sysfoqueues	sys
crdate	syschildinsts	sys
iname	syschildinsts	sys
ipipename	syschildinsts	sys
lsid	syschildinsts	sys
modate	syschildinsts	sys
pid	syschildinsts	sys
status	syschildinsts	sys
sysdbpath	syschildinsts	sys
cprelid	syscompfragments	sys
datasize	syscompfragments	sys
fragid	syscompfragments	sys
fragobjid	syscompfragments	sys
itemcnt	syscompfragments	sys
rowcnt	syscompfragments	sys
status	syscompfragments	sys
ts	syscompfragments	sys
database_id	sysftsemanticsdb	sys
fileguid	sysftsemanticsdb	sys
register_date	sysftsemanticsdb	sys
registered_by	sysftsemanticsdb	sys
version	sysftsemanticsdb	sys
lcid	sysftstops	sys
status	sysftstops	sys
stoplistid	sysftstops	sys
stopword	sysftstops	sys
guid_identifier	sysftproperties	sys
int_identifier	sysftproperties	sys
property_id	sysftproperties	sys
property_list_id	sysftproperties	sys
property_name	sysftproperties	sys
string_description	sysftproperties	sys
count	sysxmitbody	sys
msgbody	sysxmitbody	sys
msgref	sysxmitbody	sys
created	sysfos	sys
csn	sysfos	sys
epoch	sysfos	sys
high	sysfos	sys
history	sysfos	sys
id	sysfos	sys
low	sysfos	sys
modified	sysfos	sys
rowcnt	sysfos	sys
size	sysfos	sys
status	sysfos	sys
tgid	sysfos	sys
hash	sysqnames	sys
name	sysqnames	sys
nid	sysqnames	sys
qid	sysqnames	sys
defval	sysxmlcomponent	sys
deriv	sysxmlcomponent	sys
enum	sysxmlcomponent	sys
id	sysxmlcomponent	sys
kind	sysxmlcomponent	sys
nameid	sysxmlcomponent	sys
nmscope	sysxmlcomponent	sys
qual	sysxmlcomponent	sys
status	sysxmlcomponent	sys
symspace	sysxmlcomponent	sys
uriord	sysxmlcomponent	sys
xsdid	sysxmlcomponent	sys
compid	sysxmlfacet	sys
dflt	sysxmlfacet	sys
kind	sysxmlfacet	sys
ord	sysxmlfacet	sys
status	sysxmlfacet	sys
defval	sysxmlplacement	sys
maxoccur	sysxmlplacement	sys
minoccur	sysxmlplacement	sys
ordinal	sysxmlplacement	sys
placedid	sysxmlplacement	sys
placingid	sysxmlplacement	sys
status	sysxmlplacement	sys
class	sysobjkeycrypts	sys
crypto	sysobjkeycrypts	sys
id	sysobjkeycrypts	sys
status	sysobjkeycrypts	sys
thumbprint	sysobjkeycrypts	sys
type	sysobjkeycrypts	sys
algorithm	sysasymkeys	sys
bitlength	sysasymkeys	sys
encrtype	sysasymkeys	sys
id	sysasymkeys	sys
modified	sysasymkeys	sys
name	sysasymkeys	sys
pkey	sysasymkeys	sys
pukey	sysasymkeys	sys
thumbprint	sysasymkeys	sys
batchtext	syssqlguides	sys
created	syssqlguides	sys
hash	syssqlguides	sys
id	syssqlguides	sys
modified	syssqlguides	sys
name	syssqlguides	sys
paramorhinttext	syssqlguides	sys
scopeid	syssqlguides	sys
scopetype	syssqlguides	sys
status	syssqlguides	sys
class	sysbinsubobjs	sys
idmajor	sysbinsubobjs	sys
intprop	sysbinsubobjs	sys
name	sysbinsubobjs	sys
status	sysbinsubobjs	sys
subid	sysbinsubobjs	sys
depclass	syssoftobjrefs	sys
depid	syssoftobjrefs	sys
indepclass	syssoftobjrefs	sys
indepdb	syssoftobjrefs	sys
indepname	syssoftobjrefs	sys
indepschema	syssoftobjrefs	sys
indepserver	syssoftobjrefs	sys
number	syssoftobjrefs	sys
status	syssoftobjrefs	sys
count_compiles	plan_persist_plan	sys
engine_version	plan_persist_plan	sys
force_failure_count	plan_persist_plan	sys
initial_compile_start_time	plan_persist_plan	sys
is_forced_plan	plan_persist_plan	sys
is_online_index_plan	plan_persist_plan	sys
is_parallel_plan	plan_persist_plan	sys
is_trivial_plan	plan_persist_plan	sys
last_compile_duration	plan_persist_plan	sys
last_compile_start_time	plan_persist_plan	sys
last_execution_time	plan_persist_plan	sys
last_force_failure_reason	plan_persist_plan	sys
plan_group_id	plan_persist_plan	sys
plan_id	plan_persist_plan	sys
query_id	plan_persist_plan	sys
query_plan	plan_persist_plan	sys
query_plan_hash	plan_persist_plan	sys
total_compile_duration	plan_persist_plan	sys
count_executions	plan_persist_runtime_stats	sys
execution_type	plan_persist_runtime_stats	sys
first_execution_time	plan_persist_runtime_stats	sys
last_clr_time	plan_persist_runtime_stats	sys
last_cpu_time	plan_persist_runtime_stats	sys
last_dop	plan_persist_runtime_stats	sys
last_duration	plan_persist_runtime_stats	sys
last_execution_time	plan_persist_runtime_stats	sys
last_logical_io_reads	plan_persist_runtime_stats	sys
last_logical_io_writes	plan_persist_runtime_stats	sys
last_physical_io_reads	plan_persist_runtime_stats	sys
last_query_max_used_memory	plan_persist_runtime_stats	sys
last_rowcount	plan_persist_runtime_stats	sys
max_clr_time	plan_persist_runtime_stats	sys
max_cpu_time	plan_persist_runtime_stats	sys
max_dop	plan_persist_runtime_stats	sys
max_duration	plan_persist_runtime_stats	sys
max_logical_io_reads	plan_persist_runtime_stats	sys
max_logical_io_writes	plan_persist_runtime_stats	sys
max_physical_io_reads	plan_persist_runtime_stats	sys
max_query_max_used_memory	plan_persist_runtime_stats	sys
max_rowcount	plan_persist_runtime_stats	sys
min_clr_time	plan_persist_runtime_stats	sys
min_cpu_time	plan_persist_runtime_stats	sys
min_dop	plan_persist_runtime_stats	sys
min_duration	plan_persist_runtime_stats	sys
min_logical_io_reads	plan_persist_runtime_stats	sys
min_logical_io_writes	plan_persist_runtime_stats	sys
min_physical_io_reads	plan_persist_runtime_stats	sys
min_query_max_used_memory	plan_persist_runtime_stats	sys
min_rowcount	plan_persist_runtime_stats	sys
plan_id	plan_persist_runtime_stats	sys
runtime_stats_id	plan_persist_runtime_stats	sys
runtime_stats_interval_id	plan_persist_runtime_stats	sys
sumsquare_clr_time	plan_persist_runtime_stats	sys
sumsquare_cpu_time	plan_persist_runtime_stats	sys
sumsquare_dop	plan_persist_runtime_stats	sys
sumsquare_duration	plan_persist_runtime_stats	sys
sumsquare_logical_io_reads	plan_persist_runtime_stats	sys
sumsquare_logical_io_writes	plan_persist_runtime_stats	sys
sumsquare_physical_io_reads	plan_persist_runtime_stats	sys
sumsquare_query_max_used_memory	plan_persist_runtime_stats	sys
sumsquare_rowcount	plan_persist_runtime_stats	sys
total_clr_time	plan_persist_runtime_stats	sys
total_cpu_time	plan_persist_runtime_stats	sys
total_dop	plan_persist_runtime_stats	sys
total_duration	plan_persist_runtime_stats	sys
total_logical_io_reads	plan_persist_runtime_stats	sys
total_logical_io_writes	plan_persist_runtime_stats	sys
total_physical_io_reads	plan_persist_runtime_stats	sys
total_query_max_used_memory	plan_persist_runtime_stats	sys
total_rowcount	plan_persist_runtime_stats	sys
comment	plan_persist_runtime_stats_interval	sys
end_time	plan_persist_runtime_stats_interval	sys
runtime_stats_interval_id	plan_persist_runtime_stats_interval	sys
start_time	plan_persist_runtime_stats_interval	sys
acceptable_cursor_options	plan_persist_context_settings	sys
compatibility_level	plan_persist_context_settings	sys
context_settings_id	plan_persist_context_settings	sys
date_first	plan_persist_context_settings	sys
date_format	plan_persist_context_settings	sys
default_schema_id	plan_persist_context_settings	sys
is_replication_specific	plan_persist_context_settings	sys
language_id	plan_persist_context_settings	sys
merge_action_type	plan_persist_context_settings	sys
required_cursor_options	plan_persist_context_settings	sys
set_options	plan_persist_context_settings	sys
status	plan_persist_context_settings	sys
status2	plan_persist_context_settings	sys
address	Employees	HR
birthdate	Employees	HR
city	Employees	HR
country	Employees	HR
empid	Employees	HR
firstname	Employees	HR
hiredate	Employees	HR
lastname	Employees	HR
mgrid	Employees	HR
phone	Employees	HR
postalcode	Employees	HR
region	Employees	HR
title	Employees	HR
titleofcourtesy	Employees	HR
address	Suppliers	Production
city	Suppliers	Production
companyname	Suppliers	Production
contactname	Suppliers	Production
contacttitle	Suppliers	Production
country	Suppliers	Production
fax	Suppliers	Production
phone	Suppliers	Production
postalcode	Suppliers	Production
region	Suppliers	Production
supplierid	Suppliers	Production
categoryid	Categories	Production
categoryname	Categories	Production
description	Categories	Production
categoryid	Products	Production
discontinued	Products	Production
productid	Products	Production
productname	Products	Production
supplierid	Products	Production
unitprice	Products	Production
address	Customers	Sales
city	Customers	Sales
companyname	Customers	Sales
contactname	Customers	Sales
contacttitle	Customers	Sales
country	Customers	Sales
custid	Customers	Sales
fax	Customers	Sales
phone	Customers	Sales
postalcode	Customers	Sales
region	Customers	Sales
companyname	Shippers	Sales
phone	Shippers	Sales
shipperid	Shippers	Sales
custid	Orders	Sales
empid	Orders	Sales
freight	Orders	Sales
orderdate	Orders	Sales
orderid	Orders	Sales
requireddate	Orders	Sales
shipaddress	Orders	Sales
shipcity	Orders	Sales
shipcountry	Orders	Sales
shipname	Orders	Sales
shippeddate	Orders	Sales
shipperid	Orders	Sales
shippostalcode	Orders	Sales
shipregion	Orders	Sales
discount	OrderDetails	Sales
orderid	OrderDetails	Sales
productid	OrderDetails	Sales
qty	OrderDetails	Sales
unitprice	OrderDetails	Sales
testid	Tests	Stats
score	Scores	Stats
studentid	Scores	Stats
testid	Scores	Stats
n	Nums	dbo
custid	OrderValues	Sales
empid	OrderValues	Sales
orderdate	OrderValues	Sales
orderid	OrderValues	Sales
qty	OrderValues	Sales
requireddate	OrderValues	Sales
shippeddate	OrderValues	Sales
shipperid	OrderValues	Sales
val	OrderValues	Sales
orderyear	OrderTotalsByYear	Sales
qty	OrderTotalsByYear	Sales
custid	CustOrders	Sales
ordermonth	CustOrders	Sales
qty	CustOrders	Sales
empid	EmpOrders	Sales
numorders	EmpOrders	Sales
ordermonth	EmpOrders	Sales
qty	EmpOrders	Sales
val	EmpOrders	Sales
n	GetNums	dbo
categoryid	ProductsStaging	Production
discontinued	ProductsStaging	Production
productid	ProductsStaging	Production
productname	ProductsStaging	Production
supplierid	ProductsStaging	Production
unitprice	ProductsStaging	Production
date_created	sqlagent_jobs	sys
date_modified	sqlagent_jobs	sys
delete_level	sqlagent_jobs	sys
description	sqlagent_jobs	sys
enabled	sqlagent_jobs	sys
job_id	sqlagent_jobs	sys
name	sqlagent_jobs	sys
notify_level_eventlog	sqlagent_jobs	sys
start_step_id	sqlagent_jobs	sys
additional_parameters	sqlagent_jobsteps	sys
cmdexec_success_code	sqlagent_jobsteps	sys
command	sqlagent_jobsteps	sys
database_name	sqlagent_jobsteps	sys
database_user_name	sqlagent_jobsteps	sys
flags	sqlagent_jobsteps	sys
job_id	sqlagent_jobsteps	sys
last_run_date	sqlagent_jobsteps	sys
last_run_duration	sqlagent_jobsteps	sys
last_run_outcome	sqlagent_jobsteps	sys
last_run_retries	sqlagent_jobsteps	sys
last_run_time	sqlagent_jobsteps	sys
on_fail_action	sqlagent_jobsteps	sys
on_fail_step_id	sqlagent_jobsteps	sys
on_success_action	sqlagent_jobsteps	sys
on_success_step_id	sqlagent_jobsteps	sys
os_run_priority	sqlagent_jobsteps	sys
output_file_name	sqlagent_jobsteps	sys
retry_attempts	sqlagent_jobsteps	sys
retry_interval	sqlagent_jobsteps	sys
server	sqlagent_jobsteps	sys
step_id	sqlagent_jobsteps	sys
step_name	sqlagent_jobsteps	sys
step_uid	sqlagent_jobsteps	sys
subsystem	sqlagent_jobsteps	sys
instance_id	sqlagent_job_history	sys
job_id	sqlagent_job_history	sys
message	sqlagent_job_history	sys
operator_id_emailed	sqlagent_job_history	sys
operator_id_paged	sqlagent_job_history	sys
retries_attempted	sqlagent_job_history	sys
run_date	sqlagent_job_history	sys
run_duration	sqlagent_job_history	sys
run_status	sqlagent_job_history	sys
run_time	sqlagent_job_history	sys
sql_message_id	sqlagent_job_history	sys
sql_severity	sqlagent_job_history	sys
step_id	sqlagent_job_history	sys
date_created	sqlagent_jobsteps_logs	sys
log_id	sqlagent_jobsteps_logs	sys
log_text	sqlagent_jobsteps_logs	sys
step_uid	sqlagent_jobsteps_logs	sys
address	PotentialCustomers	dbo
city	PotentialCustomers	dbo
companyname	PotentialCustomers	dbo
contactname	PotentialCustomers	dbo
contacttitle	PotentialCustomers	dbo
country	PotentialCustomers	dbo
fax	PotentialCustomers	dbo
phone	PotentialCustomers	dbo
postalcode	PotentialCustomers	dbo
region	PotentialCustomers	dbo
discontinued	ProductsBeverages	Production
productid	ProductsBeverages	Production
productname	ProductsBeverages	Production
supplierid	ProductsBeverages	Production
unitprice	ProductsBeverages	Production
binary_message_body	queue_messages_1977058079	sys
conversation_group_id	queue_messages_1977058079	sys
conversation_handle	queue_messages_1977058079	sys
fragment_bitmap	queue_messages_1977058079	sys
fragment_size	queue_messages_1977058079	sys
message_enqueue_time	queue_messages_1977058079	sys
message_id	queue_messages_1977058079	sys
message_sequence_number	queue_messages_1977058079	sys
message_type_id	queue_messages_1977058079	sys
next_fragment	queue_messages_1977058079	sys
priority	queue_messages_1977058079	sys
queuing_order	queue_messages_1977058079	sys
